Model,Train Loss,CV Loss Mean,Train R^2,CV R^2
DummyRegressor,9.735228683762335,9.73650114690938,0.0,-0.00036408103842227034
LinearRegression,2.892565558900267,2.8984225451995593,0.7028764651697541,0.7021942588637746
RandomForestRegressor,0.38877270805996705,2.77370594268536,0.9600653748680386,0.7150132769504335
GradientBoostingRegressor,2.6116312914299806,2.6794213727758844,0.7317339554862234,0.7246891200107113
